						
	Accessible in game	True Pacifist	Not accessible	TODO		
room_gameover						
room_shop1						
room_shop2						
room_shop3						
room_shop4						
room_shop5						
room_riverman_transition						
room_papdate						
room_adate						
room_flowey_endchoice						
room_flowey_regret						
room_empty						
room_emptywhite						
room_emptyblack						
room_nothingness						
room_undertale						
room_of_dog						
room_quizholder						
room_friendtest						
room_bringitinguys						
room_asrielappears						
room_goodbyeasriel						
room_asrielmemory						
room_asrieltest						
room_afinaltest						
gml_Script_attention_hackerz_no_2						
gml_Script_SCR_TEXT						
gml_Script_date_current_date						
gml_Script_date_current_time_x						
gml_Script_sprite_create_from_screen_x						
gml_Script_sleep_x						
gml_Script_snd_stop						
gml_Script_snd_play						
gml_Script_snd_isplaying						
gml_Script_scr_getmusindex						
gml_Script_caster_load						
gml_Script_caster_play						
gml_Script_caster_play_l						
gml_Script_caster_resume						
gml_Script_caster_set_panning						
gml_Script_caster_loop						
gml_Script_caster_get_pitch						
gml_Script_caster_get_volume						
gml_Script_caster_free						
gml_Script_caster_set_pitch						
gml_Script_caster_set_volume						
gml_Script_caster_pause						
gml_Script_caster_is_playing						
gml_Script_caster_stop						
gml_Script_scr_afterimage						
gml_Script_scr_waver_height						
gml_Script_scr_waver_height_bg						
gml_Script_scr_waver_lava						
gml_Script_scr_fx_waver						
gml_Script_scr_colorcycle						
gml_Script_draw_me						
gml_Script_scr_newvapordata						
gml_Script_scr_getvapordata						
gml_Script_draw_self_border						
gml_Script_draw_self_border_true						
gml_Script_draw_self_border_e						
gml_Script_draw_self_custom						
gml_Script_draw_self_custom_x						
gml_Script_draw_custom_ext						
gml_Script_draw_self_border_ext						
gml_Script_random_ranger						
gml_Script_keyboard_multicheck						
gml_Script_keyboard_multicheck_pressed						
gml_Script_scr_worstcheck						
gml_Script_scr_dogcheck_old						
gml_Script_scr_dogcheck						
gml_Script_murdererlv1						
gml_Script_murdererlv2						
gml_Script_scr_murderlv						
gml_Script_scr_deaddog						
gml_Script_scr_enemynpc1						
gml_Script_scr_enemynpc2						
gml_Script_scr_enemynpc3						
gml_Script_scr_namingscreen						
gml_Script_scr_roomname						
gml_Script_scr_levelup						
gml_Script_scr_recover						
gml_Script_scr_saveprocess						
gml_Script_scr_tempload						
gml_Script_scr_tempsave						
gml_Script_scr_save						
gml_Script_scr_load						
gml_Script_SCR_GAMESTART						
gml_Script_scr_cost						
gml_Script_scr_recoitem						
gml_Script_scr_storageshift						
gml_Script_scr_itemshift						
gml_Script_scr_phoneshift						
gml_Script_scr_phone_moveup						
gml_Script_scr_itemrewrite						
gml_Script_scr_phonename						
gml_Script_scr_storagename						
gml_Script_scr_itemdesc						
gml_Script_scr_itemuseb						
gml_Script_scr_itemnamelist						
gml_Script_scr_itemnameb						
gml_Script_scr_weaponeq						
gml_Script_scr_armoreq						
gml_Script_scr_itemvalue						
gml_Script_scr_itemremove						
gml_Script_scr_itemcheck						
gml_Script_scr_storagecheck						
gml_Script_scr_itemname						
gml_Script_scr_itemroom						
gml_Script_scr_itemget						
gml_Script_scr_storageget						
gml_Script_scr_phoneget						
gml_Script_scr_itemnospace						
gml_Script_scr_npc_halt						
gml_Script_scr_marker						
gml_Script_scr_moveideal						
gml_Script_scr_getideal						
gml_Script_scr_flash						
gml_Script_scr_musfadeout						
gml_Script_scr_musfadepause						
gml_Script_scr_musfaderesume						
gml_Script_scr_musfadein						
gml_Script_scr_conshakeend						
gml_Script_scr_conshake						
gml_Script_scr_conshakeinit						
gml_Script_scr_shake						
gml_Script_scr_steps						
gml_Script_scr_scinit						
gml_Script_scr_begin						
gml_Script_scr_end						
gml_Script_scr_npc_watch						
gml_Script_scr_npcdir						
gml_Script_scr_npc_anim						
gml_Script_scr_npcdirspeed						
gml_Script_scr_npcsetup						
gml_Script_scr_interact						
gml_Script_scr_onscreen						
gml_Script_scr_depth						
gml_Script_scr_turnb						
gml_Script_scr_bouncer						
gml_Script_scr_insideborder						
gml_Script_c_borderwidth						
gml_Script_c_borderheight						
gml_Script_scr_blueat						
gml_Script_scr_bordercross						
gml_Script_scr_perpendicular						
gml_Script_scr_edge						
gml_Script_scr_rotategen						
gml_Script_SCR_DIRECT						
gml_Script_SCR_BORDER						
gml_Script_SCR_BORDER_X						
gml_Script_SCR_BORDER_X_X						
gml_Script_SCR_LASER						
gml_Script_SCR_THATCH						
gml_Script_scr_sp						
gml_Script_scr_sr						
gml_Script_scr_papcall						
gml_Script_scr_torcall						
gml_Script_scr_textskip						
gml_Script_scr_blcon						
gml_Script_scr_blcon_x						
gml_Script_scr_sansface						
gml_Script_scr_torface						
gml_Script_scr_asgface						
gml_Script_scr_noface						
gml_Script_scr_papface						
gml_Script_scr_undface						
gml_Script_scr_alface						
gml_Script_scr_facechoice						
gml_Script_scr_msgup						
gml_Script_scr_writetext						
gml_Script_scr_regulartext						
gml_Script_SCR_NEWLINE						
gml_Script_SCR_TEXTSETUP						
gml_Script_SCR_TEXTTYPE						
gml_Script_scr_hplat						
gml_Script_scr_bwall						
gml_Script_scr_sbo						
gml_Script_scr_withallmonster						
gml_Script_scr_monstersum						
gml_Script_scr_blconmatch						
gml_Script_scr_binfowrite						
gml_Script_scr_gameoverb						
gml_Script_scr_monstersetup						
gml_Script_scr_battlegroup						
gml_Script_scr_attack						
gml_Script_scr_attackcalc						
gml_Script_scr_mercystandard						
gml_Script_scr_damagestandard						
gml_Script_scr_damagestandard_x						
gml_Script_scr_runaway						
gml_Script_scr_monsterdefeat						
gml_Script_SCR_BORDERSETUP						
gml_Script_scr_true_lavawaver						
gml_Script_scr_fx_waver_scanline						
gml_Script_SCR_TEXTTYPE_f						
gml_Script_scr_floweybodysave						
gml_Script_scr_floweybodyload						
gml_Object_obj_musicobjectparent_Other_10						
gml_Object_obj_solidtall_Create_0						
gml_Object_obj_solidlong_Create_0						
gml_Object_obj_solidlongleft_Create_0						
gml_Object_obj_core_bridgeleg_Create_0						
gml_Object_obj_core_glowbg_Create_0						
gml_Object_obj_core_glowbg_Draw_0						
gml_Object_obj_core_glowtotem_Create_0						
gml_Object_obj_core_glowwall_Create_0						
gml_Object_obj_core_lightline_l_Create_0						
gml_Object_obj_core_lightline_m_Create_0						
gml_Object_obj_core_lightline_r_Create_0						
gml_Object_obj_core_lightstrip_Create_0						
gml_Object_obj_core_lightstrip_Draw_0						
gml_Object_obj_core_lightstrip_m_Create_0						
gml_Object_obj_core_lightstrip_m_Draw_0						
gml_Object_obj_coredoor_anim_Create_0						
gml_Object_obj_bigcoredoor_anim_Create_0						
gml_Object_obj_coresign_Create_0						
gml_Object_obj_darktotem_anim_Create_0						
gml_Object_obj_elev_floorsign_Create_0						
gml_Object_obj_elev_floorsign_Draw_0						
gml_Object_obj_elevatorgem_Create_0						
gml_Object_obj_elevatorgem_Draw_0						
gml_Object_obj_soundtest_Create_0						
gml_Object_obj_soundtest_Draw_0						
gml_Object_obj_mkid_goner_Create_0						
gml_Object_obj_mkid_goner_Alarm_0						
gml_Object_obj_mkid_goner_Step_1						
gml_Object_obj_gaster_follower_a_Create_0						
gml_Object_obj_gaster_follower_a_Alarm_0						
gml_Object_obj_gaster_follower_a_Step_1						
gml_Object_obj_gaster_follower_b_Create_0						
gml_Object_obj_gaster_follower_b_Alarm_0						
gml_Object_obj_gaster_follower_b_Step_1						
gml_Object_obj_gaster_follower_c_Create_0						
gml_Object_obj_gaster_follower_c_Alarm_0						
gml_Object_obj_gaster_follower_c_Step_1						
gml_Object_obj_greydoor_Create_0						
gml_Object_obj_greydoor_Alarm_2						
gml_Object_obj_greydoor_Step_0						
gml_Object_obj_greydoor_Other_19						
gml_Object_obj_mysteryman_Create_0						
gml_Object_obj_mysteryman_Step_0						
gml_Object_obj_wrongnumbersong_Create_0						
gml_Object_obj_wrongnumbersong_Alarm_4						
gml_Object_obj_wrongnumbersong_Step_0						
gml_Object_obj_wrongnumbersong_Collision_1570						
gml_Object_obj_otherphonecall_Create_0						
gml_Object_obj_otherphonecall_Alarm_4						
gml_Object_obj_otherphonecall_Step_0						
gml_Object_obj_otherphonecall_Collision_1570						
gml_Object_obj_magicglass_Create_0						
gml_Object_obj_magicglass_Step_0						
gml_Object_obj_magicglass_Collision_1118						
gml_Object_obj_magicglass_personal_Create_0						
gml_Object_obj_magicglass_personal_Step_0						
gml_Object_obj_magicglass_personal_Collision_1570						
gml_Object_obj_cosmeticpillar_a_Create_0						
gml_Object_obj_cosmeticpillar_b_Create_0						
gml_Object_obj_icecavewall_Create_0						
gml_Object_obj_icecavewall_Alarm_0						
gml_Object_obj_icecavewall_Draw_0						
gml_Object_obj_icetosteam_Create_0						
gml_Object_obj_icetosteam_Draw_0						
gml_Object_obj_waterfall_waterfall_Create_0						
gml_Object_obj_waterfall_waterfall_Draw_0						
gml_Object_obj_brightwaterfall_Create_0						
gml_Object_obj_brightwaterfall_Draw_0						
gml_Object_obj_dockanim_Create_0						
gml_Object_obj_cogsmall_Create_0						
gml_Object_obj_cogsmall_Alarm_1						
gml_Object_obj_cogsmall_Alarm_0						
gml_Object_obj_cogsmall_Draw_0						
gml_Object_obj_hotland_bottomedge_Create_0						
gml_Object_obj_hotland_bottomedge_Draw_0						
gml_Object_obj_hotland_rededge_Create_0						
gml_Object_obj_hotland_rededge_Draw_0						
gml_Object_obj_hotland_rededge_x_Create_0						
gml_Object_obj_hotland_rededge_x_Draw_0						
gml_Object_obj_piper_bluejet_Create_0						
gml_Object_obj_piper_bluejet_Draw_0						
gml_Object_obj_piper_steam_Create_0						
gml_Object_obj_piper_steam_Draw_0						
gml_Object_obj_redpipev_Create_0						
gml_Object_obj_redpipev_Draw_0						
gml_Object_obj_steamplume2_Create_0						
gml_Object_obj_steamplume2_Step_0						
gml_Object_obj_lighttower_Create_0						
gml_Object_obj_lighttower_Alarm_0						
gml_Object_obj_lighttower_Draw_0						
gml_Object_obj_gaster_room_Create_0						
gml_Object_obj_gaster_room_Draw_0						
gml_Object_obj_endcastlemusic_Create_0						
gml_Object_obj_pitsound_Create_0						
gml_Object_obj_pitsound_Draw_0						
gml_Object_obj_menumusictest_Create_0						
gml_Object_obj_menumusictest_Step_0						
gml_Object_obj_ruinsmusic_Create_0						
gml_Object_obj_ruinsmusic_Alarm_0						
gml_Object_obj_coremusic_Create_0						
gml_Object_obj_coremusic_Alarm_0						
gml_Object_obj_sansmusic_Create_0						
gml_Object_obj_sansmusic_Alarm_0						
gml_Object_obj_lavamusic_Create_0						
gml_Object_obj_lavamusic_Alarm_0						
gml_Object_obj_hotelmusic_Create_0						
gml_Object_obj_hotelmusic_Alarm_0						
gml_Object_obj_lavaoogmusic_Alarm_0						
gml_Object_obj_lavaoogmusic_Other_4						
gml_Object_obj_coreambiencemusic_Alarm_0						
gml_Object_obj_coreambiencemusic_Other_4						
gml_Object_obj_tundramusic_Create_0						
gml_Object_obj_townmusic_Create_0						
gml_Object_obj_ambientwater_Create_0						
gml_Object_obj_ambientrain_Create_0						
gml_Object_obj_ambientrain_Step_0						
gml_Object_obj_watermusic_Create_0						
gml_Object_obj_undynecoolmusic_Create_0						
gml_Object_obj_quietwatermusic_Create_0						
gml_Object_obj_temvillagemusic_Create_0						
gml_Object_obj_labmusic_Create_0						
gml_Object_obj_truelabmusic_Create_0						
gml_Object_obj_mysterymusic_Create_0						
gml_Object_obj_castle_part1music_Create_0						
gml_Object_obj_castle_part2music_Create_0						
gml_Object_obj_tundramusicspecial1_Create_0						
gml_Object_obj_tundramusicspecial1_Alarm_0						
gml_Object_obj_tundramusicspecial1_Other_5						
gml_Object_obj_housemusic_Create_0						
gml_Object_obj_housemusic_Alarm_0						
gml_Object_obj_basementmusic_Create_0						
gml_Object_obj_basementmusic_Alarm_0						
gml_Object_obj_musicchecker_Create_0						
gml_Object_obj_birbnoise_Create_0						
gml_Object_obj_birbnoise_Step_0						
gml_Object_obj_birbnoise_Other_5						
gml_Object_obj_walknoise_Create_0						
gml_Object_obj_walknoise_Destroy_0						
gml_Object_obj_walknoise_Alarm_0						
gml_Object_obj_walknoise_Other_5						
gml_Object_obj_soundcombo_Create_0						
gml_Object_obj_soundcombo_Alarm_1						
gml_Object_obj_soundcombo_Alarm_0						
gml_Object_obj_foodsound_Create_0						
gml_Object_obj_foodsound_Alarm_0						
gml_Object_obj_musfadeout_Create_0						
gml_Object_obj_musfadeout_Step_0						
gml_Object_obj_musfadepause_Create_0						
gml_Object_obj_musfadepause_Step_0						
gml_Object_obj_undertaletitle_Create_0						
gml_Object_obj_undertaletitle_Alarm_4						
gml_Object_obj_undertaletitle_Keyboard_39						
gml_Object_obj_undertaletitle_Keyboard_37						
gml_Object_obj_undertaletitle_Draw_0						
gml_Object_obj_intromenu_Create_0						
gml_Object_obj_intromenu_Draw_0						
gml_Object_obj_intromenu_KeyPress_27						
gml_Object_obj_introlast_Create_0						
gml_Object_obj_introlast_Alarm_2						
gml_Object_obj_introlast_Alarm_0						
gml_Object_obj_introlast_Draw_0						
gml_Object_obj_titleimage_Create_0						
gml_Object_obj_titleimage_Alarm_1						
gml_Object_obj_titleimage_Alarm_0						
gml_Object_obj_titleimage_Draw_0						
gml_Object_obj_titleimage_KeyPress_27						
gml_Object_obj_introfader_Create_0						
gml_Object_obj_introfader_Alarm_3						
gml_Object_obj_introfader_Alarm_2						
gml_Object_obj_introfader_Step_0						
gml_Object_obj_introfader_Other_5						
gml_Object_obj_introfader_Other_4						
gml_Object_obj_introtangle_Draw_0						
gml_Object_obj_introimage_Create_0						
gml_Object_obj_introimage_Alarm_2						
gml_Object_obj_introimage_Alarm_1						
gml_Object_obj_introimage_Alarm_0						
gml_Object_obj_introimage_Step_1						
gml_Object_obj_introimage_Step_0						
gml_Object_obj_ct_fallobj_Create_0						
gml_Object_obj_ct_fallobj_Step_0						
gml_Object_obj_joypadmenu_Create_0						
gml_Object_obj_joypadmenu_Other_5						
gml_Object_obj_joypadmenu_Draw_0						
gml_Object_obj_controltest_Create_0						
gml_Object_obj_controltest_Other_5						
gml_Object_obj_controltest_Draw_0						
gml_Object_obj_lightray_Create_0						
gml_Object_obj_lightray_Step_2						
gml_Object_obj_lightray_Draw_0						
gml_Object_obj_trianglelightray_Create_0						
gml_Object_obj_trianglelightray_Draw_0						
gml_Object_obj_roomofdog_Create_0						
gml_Object_obj_roomofdog_Alarm_0						
gml_Object_obj_genanim_Other_7						
gml_Object_obj_genafterimage_Create_0						
gml_Object_obj_genafterimage_Step_0						
gml_Object_obj_confetti_Create_0						
gml_Object_obj_confetti_Step_0						
gml_Object_obj_bouncer_Create_0						
gml_Object_obj_bouncer_Step_0						
gml_Object_obj_pollener_Create_0						
gml_Object_obj_pollener_Draw_0						
gml_Object_obj_fx_waver_Create_0						
gml_Object_obj_fx_waver_Alarm_0						
gml_Object_obj_fx_waver_Draw_0						
gml_Object_obj_whitesploder_Create_0						
gml_Object_obj_whitesploder_Draw_0						
gml_Object_obj_glowparticle_1_Create_0						
gml_Object_obj_glowparticle_1_Step_0						
gml_Object_obj_glowparticlegen_1_Create_0						
gml_Object_obj_glowparticlegen_1_Alarm_0						
gml_Object_obj_bg_glower_Create_0						
gml_Object_obj_bg_glower_Draw_0						
gml_Object_obj_imageview_Create_0						
gml_Object_obj_imageview_Alarm_0						
gml_Object_obj_imageview_Draw_0						
gml_Object_obj_flasher_Create_0						
gml_Object_obj_flasher_Alarm_0						
gml_Object_obj_flasher_Step_0						
gml_Object_obj_flasher_Draw_0						
gml_Object_obj_glowfly1_Create_0						
gml_Object_obj_glowfly1_Alarm_0						
gml_Object_obj_glowfly1_Draw_0						
gml_Object_obj_icecave_fader_Create_0						
gml_Object_obj_icecave_fader_Step_1						
gml_Object_obj_watercave_fader_Create_0						
gml_Object_obj_watercave_fader_Step_1						
gml_Object_obj_waterstar_bg_Create_0						
gml_Object_obj_waterstar_bg_Alarm_0						
gml_Object_obj_waterstar_bg_Other_10						
gml_Object_obj_backgrounder_dock_Create_0						
gml_Object_obj_backgrounder_dock_Other_10						
gml_Object_obj_backgrounder_tundra_Create_0						
gml_Object_obj_backgrounder_tundra_Other_10						
gml_Object_obj_backgrounder_core_Create_0						
gml_Object_obj_backgrounder_core_Other_10						
gml_Object_obj_backgrounder_core_Draw_0						
gml_Object_obj_backgrounder_lava_Create_0						
gml_Object_obj_backgrounder_lava_Step_2						
gml_Object_obj_backgrounder_lava_Draw_0						
gml_Object_obj_backgrounder_lastruins_Create_0						
gml_Object_obj_backgrounder_lastruins_Other_10						
gml_Object_obj_backgrounder_castle_Create_0						
gml_Object_obj_backgrounder_castle_Other_10						
gml_Object_obj_backgrounder_castle_Draw_0						
gml_Object_obj_garden_overlayshadow_Draw_0						
gml_Object_obj_backgrounder_pillar_Create_0						
gml_Object_obj_backgrounder_pillar_Alarm_0						
gml_Object_obj_backgrounder_pillar_Step_2						
gml_Object_obj_backgrounder_pillar_Draw_0						
gml_Object_obj_finalbarrier_Create_0						
gml_Object_obj_finalbarrier_Alarm_0						
gml_Object_obj_finalbarrier_Draw_0						
gml_Object_obj_hotlandparalava_Create_0						
gml_Object_obj_hotlandparalava_Draw_0						
gml_Object_obj_hotlandrock_bg_Create_0						
gml_Object_obj_hotlandrock_bg_Draw_0						
gml_Object_obj_mainend_Create_0						
gml_Object_obj_mainend_Alarm_4						
gml_Object_obj_mainend_Step_0						
gml_Object_obj_endflowey_Create_0						
gml_Object_obj_endflowey_Alarm_4						
gml_Object_obj_endflowey_Step_0						
gml_Object_obj_endflowey_Draw_0						
gml_Object_obj_endflowey_regret_Create_0						
gml_Object_obj_endflowey_regret_Alarm_5						
gml_Object_obj_endflowey_regret_Alarm_4						
gml_Object_obj_endflowey_regret_Step_0						
gml_Object_obj_endflowey_regret_Draw_0						
gml_Object_obj_credits_short_Create_0						
gml_Object_obj_credits_short_Alarm_7						
gml_Object_obj_credits_short_Alarm_6						
gml_Object_obj_credits_short_Alarm_5						
gml_Object_obj_credits_short_Draw_0						
gml_Object_obj_screen_Create_0						
gml_Object_obj_screen_Step_2						
gml_Object_obj_screen_Step_1						
gml_Object_obj_screen_Other_4						
gml_Object_obj_quittingmessage_Create_0						
gml_Object_obj_quittingmessage_Draw_0						
gml_Object_obj_battleblcon_Create_0						
gml_Object_obj_battleblcon_Alarm_0						
gml_Object_obj_battleblcon_Step_2						
gml_Object_obj_battleblcon_Other_12						
gml_Object_obj_transheart_Create_0						
gml_Object_obj_transheart_Alarm_0						
gml_Object_obj_transheart_Step_0						
gml_Object_obj_transheart_Other_5						
gml_Object_obj_battler_Create_0						
gml_Object_obj_battler_Alarm_4						
gml_Object_obj_battler_Alarm_3						
gml_Object_obj_battler_Alarm_2						
gml_Object_obj_battler_Other_5						
gml_Object_obj_battler_Draw_0						
gml_Object_obj_battlerflowey_Create_0						
gml_Object_obj_battlerflowey_Alarm_4						
gml_Object_obj_battlerflowey_Alarm_3						
gml_Object_obj_battlerflowey_Alarm_2						
gml_Object_obj_battlerflowey_Other_5						
gml_Object_obj_battlerflowey_Draw_0						
gml_Object_obj_battlerquick_Create_0						
gml_Object_obj_battlerquick_Alarm_4						
gml_Object_obj_battlerquick_Alarm_3						
gml_Object_obj_battlerquick_Alarm_2						
gml_Object_obj_battlerquick_Other_5						
gml_Object_obj_battlerquick_Draw_0						
gml_Object_obj_battlerstory_Create_0						
gml_Object_obj_battlerstory_Alarm_4						
gml_Object_obj_battlerstory_Alarm_3						
gml_Object_obj_battlerstory_Alarm_2						
gml_Object_obj_battlerstory_Other_5						
gml_Object_obj_battlerstory_Draw_0						
gml_Object_obj_tempblack_Other_5						
gml_Object_obj_tempblack_Draw_0						
gml_Object_obj_fader_Create_0						
gml_Object_obj_fader_Step_1						
gml_Object_obj_persistentfader_Create_0						
gml_Object_obj_persistentfader_Step_1						
gml_Object_obj_persistentfader_Other_4						
gml_Object_obj_unfader_Create_0						
gml_Object_obj_unfader_Step_0						
gml_Object_obj_unfader_Other_5						
gml_Object_obj_unfader_Other_4						
gml_Object_obj_whitefader_Create_0						
gml_Object_obj_whitefader_Step_0						
gml_Object_obj_whitefader_Other_5						
gml_Object_obj_whitefader_Other_4						
gml_Object_obj_transitioner_Create_0						
gml_Object_obj_transitioner_Other_5						
gml_Object_obj_transitioner_Draw_0						
gml_Object_obj_musfadein_Create_0						
gml_Object_obj_musfadein_Step_0						
gml_Object_obj_gameover_Create_0						
gml_Object_obj_gameover_Step_0						
gml_Object_obj_battlecontroller_Create_0						
gml_Object_obj_battlecontroller_Alarm_0						
gml_Object_obj_battlecontroller_Step_1						
gml_Object_obj_battlecontroller_Step_0						
gml_Object_obj_battlecontroller_Keyboard_57						
gml_Object_obj_battlecontroller_Keyboard_56						
gml_Object_obj_battlecontroller_Other_10						
gml_Object_obj_battlecontroller_Other_5						
gml_Object_obj_battlecontroller_Draw_0						
gml_Object_obj_battlecontroller_KeyPress_117						
gml_Object_obj_battlecontroller_KeyPress_80						
gml_Object_obj_battlecontroller_KeyPress_50						
gml_Object_obj_battlecontroller_KeyPress_49						
gml_Object_obj_battlecontroller_KeyPress_46						
gml_Object_obj_battlecontroller_KeyPress_40						
gml_Object_obj_battlecontroller_KeyPress_39						
gml_Object_obj_battlecontroller_KeyPress_38						
gml_Object_obj_battlecontroller_KeyPress_37						
gml_Object_obj_vaporized_new_Create_0						
gml_Object_obj_vaporized_new_Draw_0						
gml_Object_obj_vaporized_old_Create_0						
gml_Object_obj_vaporized_old_Alarm_0						
gml_Object_obj_vaporized_Create_0						
gml_Object_obj_vaporized_Alarm_0						
gml_Object_obj_vaporized_Step_0						
gml_Object_obj_vaporized_Draw_0						
gml_Object_obj_vaporizedspare_Create_0						
gml_Object_obj_vaporizedspare_Alarm_0						
gml_Object_obj_spared_Create_0						
gml_Object_obj_spared_Alarm_0						
gml_Object_obj_vaporacquirer_Create_0						
gml_Object_obj_vaporacquirer_Alarm_0						
gml_Object_obj_friendgraph_Create_0						
gml_Object_obj_friendgraph_Draw_0						
gml_Object_obj_graphparent_Step_2						
gml_Object_obj_egggraph_Create_0						
gml_Object_obj_specialgraph_Create_0						
gml_Object_obj_specialgraph_Draw_0						
gml_Object_obj_daygraph_Create_0						
gml_Object_obj_daygraph_Alarm_0						
gml_Object_obj_daygraph_Draw_0						
gml_Object_obj_crimegraph_Create_0						
gml_Object_obj_crimegraph_Draw_0						
gml_Object_obj_radar_Create_0						
gml_Object_obj_radar_Draw_0						
gml_Object_obj_populationgraph_Create_0						
gml_Object_obj_populationgraph_Draw_0						
gml_Object_obj_papdate_Create_0						
gml_Object_obj_papdate_Alarm_3						
gml_Object_obj_papdate_Alarm_2						
gml_Object_obj_papdate_Step_0						
gml_Object_obj_papdate_Draw_0						
gml_Object_obj_adate_Create_0						
gml_Object_obj_adate_Alarm_4						
gml_Object_obj_adate_Step_0						
gml_Object_obj_adate_Draw_0						
gml_Object_obj_alphys_fly_Create_0						
gml_Object_obj_ua_throwtest_Create_0						
gml_Object_obj_ua_throwtest_Alarm_4						
gml_Object_obj_ua_throwtest_Draw_0						
gml_Object_obj_adate_papyrus_Create_0						
gml_Object_obj_adate_papyrus_Alarm_4						
gml_Object_obj_adate_papyrus_Step_0						
gml_Object_obj_garbagebg_Create_0						
gml_Object_obj_garbagebg_Draw_0						
gml_Object_obj_adate_trashcan_Create_0						
gml_Object_obj_adate_trashcan_Alarm_4						
gml_Object_obj_adate_trashcan_Alarm_3						
gml_Object_obj_adate_trashcan_Draw_0						
gml_Object_obj_adate_body_Create_0						
gml_Object_obj_adate_body_Alarm_3						
gml_Object_obj_adate_body_Draw_0						
gml_Object_obj_adate_ubody_Create_0						
gml_Object_obj_adate_ubody_Draw_0						
gml_Object_obj_instantnoodleitem_Create_0						
gml_Object_obj_instantnoodleitem_Step_0						
gml_Object_obj_blackborderer_Step_0						
gml_Object_obj_blackborderer_Draw_0						
gml_Object_obj_gameoverbg_Create_0						
gml_Object_obj_gameoverbg_Step_0						
gml_Object_obj_battlefader_Create_0						
gml_Object_obj_battlefader_Step_0						
gml_Object_obj_dustcloud_Create_0						
gml_Object_obj_dustcloud_Alarm_0						
gml_Object_obj_dustcloud_Step_0						
gml_Object_obj_dustcloud_Other_7						
gml_Object_obj_hpname_Step_0						
gml_Object_obj_shaker_Create_0						
gml_Object_obj_shaker_Destroy_0						
gml_Object_obj_shaker_Alarm_0						
gml_Object_obj_battlebg_Create_0						
gml_Object_obj_blconwideslave_Create_0						
gml_Object_obj_blconwideslave_Step_0						
gml_Object_obj_dmgwriter_Create_0						
gml_Object_obj_dmgwriter_Alarm_2						
gml_Object_obj_dmgwriter_Alarm_0						
gml_Object_obj_dmgwriter_Draw_0						
gml_Object_obj_dmgwriter_old_Create_0						
gml_Object_obj_dmgwriter_old_Alarm_2						
gml_Object_obj_dmgwriter_old_Alarm_0						
gml_Object_obj_dmgwriter_old_Draw_0						
gml_Object_obj_whtpxlgrav_Create_0						
gml_Object_obj_whtpxlgrav_Other_7						
gml_Object_obj_whtpxlgrav_Other_0						
gml_Object_obj_blkpxlgrav_Create_0						
gml_Object_obj_blkpxlgrav_Step_0						
gml_Object_obj_blkpxlgrav_Other_10						
gml_Object_obj_blkpxltall_Create_0						
gml_Object_obj_blkpxltall_Step_0						
gml_Object_obj_blkpxltall_Other_10						
gml_Object_obj_blkpxl0tall_Create_0						
gml_Object_obj_blkpxl0tall_Step_0						
gml_Object_obj_coverup_Create_0						
gml_Object_obj_coverup_Alarm_1						
gml_Object_obj_coverup_Step_0						
gml_Object_obj_torieldisapprove_Create_0						
gml_Object_obj_torieldisapprove_Step_0						
gml_Object_obj_guidearrows_Create_0						
gml_Object_obj_guidearrows_Alarm_1						
gml_Object_obj_guidearrows_Alarm_0						
gml_Object_obj_guidearrows_Step_0						
gml_Object_obj_guidearrows_Collision_748						
gml_Object_obj_floweybattle1_Create_0						
gml_Object_obj_floweybattle1_Alarm_11						
gml_Object_obj_floweybattle1_Alarm_10						
gml_Object_obj_floweybattle1_Alarm_9						
gml_Object_obj_floweybattle1_Alarm_8						
gml_Object_obj_floweybattle1_Alarm_7						
gml_Object_obj_floweybattle1_Alarm_6						
gml_Object_obj_floweybattle1_Alarm_5						
gml_Object_obj_floweybattle1_Alarm_4						
gml_Object_obj_floweybattle1_Alarm_3						
gml_Object_obj_floweybattle1_Alarm_2						
gml_Object_obj_floweybattle1_Alarm_1						
gml_Object_obj_floweybattle1_Alarm_0						
gml_Object_obj_floweybattle1_Step_0						
gml_Object_obj_floweybattle1_Other_0						
gml_Object_obj_dummymonster_Create_0						
gml_Object_obj_dummymonster_Destroy_0						
gml_Object_obj_dummymonster_Alarm_7						
gml_Object_obj_dummymonster_Alarm_6						
gml_Object_obj_dummymonster_Alarm_5						
gml_Object_obj_dummymonster_Alarm_3						
gml_Object_obj_dummymonster_Step_0						
gml_Object_obj_dummymonster_Other_0						
gml_Object_obj_torielcutscene_Create_0						
gml_Object_obj_torielcutscene_Alarm_2						
gml_Object_obj_torielcutscene_Step_0						
gml_Object_obj_floweydraw_Create_0						
gml_Object_obj_floweydraw_Draw_0						
gml_Object_obj_winkstar_Create_0						
gml_Object_obj_winkstar_Alarm_0						
gml_Object_obj_winkstar_Step_0						
gml_Object_obj_fakefroggit_Create_0						
gml_Object_obj_fakefroggit_Destroy_0						
gml_Object_obj_fakefroggit_Alarm_11						
gml_Object_obj_fakefroggit_Alarm_10						
gml_Object_obj_fakefroggit_Alarm_8						
gml_Object_obj_fakefroggit_Alarm_6						
gml_Object_obj_fakefroggit_Alarm_5						
gml_Object_obj_fakefroggit_Alarm_3						
gml_Object_obj_fakefroggit_Step_0						
gml_Object_object391_Create_0						
gml_Object_object391_Destroy_0						
gml_Object_object391_Alarm_11						
gml_Object_object391_Alarm_10						
gml_Object_object391_Alarm_8						
gml_Object_object391_Alarm_6						
